,Date,Open,High,Low,Close,Volume,Market Cap
826,"Dec 24, 2015",0.000018,0.000018,0.000013,0.000014,"1,772","163,956"
827,"Dec 23, 2015",0.000021,0.000022,0.000017,0.000022,"3,454","198,738"
828,"Dec 22, 2015",0.000017,0.000021,0.000014,0.000021,"4,829","157,571"
829,"Dec 21, 2015",0.000017,0.000020,0.000014,0.000017,156,"155,606"
830,"Dec 20, 2015",0.000023,0.000027,0.000016,0.000024,460,"213,711"
831,"Dec 19, 2015",0.000018,0.000028,0.000014,0.000023,"4,750","166,877"
832,"Dec 18, 2015",0.000018,0.000023,0.000017,0.000018,"1,339","169,252"
833,"Dec 17, 2015",0.000014,0.000018,0.000014,0.000018,"3,956","127,338"
834,"Dec 16, 2015",0.000018,0.000022,0.000014,0.000014,367,"163,097"
835,"Dec 15, 2015",0.000018,0.000023,0.000015,0.000017,431,"164,222"
836,"Dec 14, 2015",0.000017,0.000022,0.000016,0.000018,"1,708","157,689"
837,"Dec 13, 2015",0.000024,0.000024,0.000017,0.000017,"2,038","223,341"
838,"Dec 12, 2015",0.000018,0.000026,0.000017,0.000024,429,"167,438"
839,"Dec 11, 2015",0.000020,0.000025,0.000017,0.000018,"1,451","183,360"
840,"Dec 10, 2015",0.000019,0.000023,0.000017,0.000020,748,"172,215"
841,"Dec 09, 2015",0.000018,0.000020,0.000014,0.000019,"1,548","162,561"
842,"Dec 08, 2015",0.000014,0.000019,0.000013,0.000017,480,"127,100"
843,"Dec 07, 2015",0.000016,0.000020,0.000014,0.000014,301,"144,492"
844,"Dec 06, 2015",0.000016,0.000020,0.000016,0.000016,383,"144,307"
845,"Dec 05, 2015",0.000021,0.000022,0.000016,0.000019,"1,041","197,625"
846,"Dec 04, 2015",0.000015,0.000021,0.000015,0.000021,"1,441","142,427"
847,"Dec 03, 2015",0.000020,0.000020,0.000015,0.000015,688,"183,668"
848,"Dec 02, 2015",0.000017,0.000020,0.000016,0.000017,330,"159,729"
849,"Dec 01, 2015",0.000022,0.000024,0.000017,0.000018,653,"204,141"
850,"Nov 30, 2015",0.000015,0.000025,0.000015,0.000022,"5,892","136,768"
851,"Nov 29, 2015",0.000017,0.000018,0.000014,0.000015,90,"159,910"
852,"Nov 28, 2015",0.000014,0.000020,0.000014,0.000017,"3,294","132,192"
853,"Nov 27, 2015",0.000014,0.000015,0.000012,0.000014,404,"130,686"
854,"Nov 26, 2015",0.000016,0.000018,0.000010,0.000014,278,"150,793"
855,"Nov 25, 2015",0.000011,0.000016,0.000010,0.000016,148,"105,472"
856,"Nov 24, 2015",0.000010,0.000014,0.000010,0.000011,621,"96,693"
